source,target,kind,layer_from,layer_to
s099/sid439100,s099/sid439099,host,99,99
s099/sid439101,s099/sid439099,host,99,99
s099/sid439102,s099/sid439099,host,99,99
s099/sid439105,s099/sid439099,host,99,99
s099/sid439106,s099/sid439099,host,99,99
s099/sid439107,s099/sid439099,host,99,99
s099/sid439108,s099/sid439099,host,99,99
s099/sid439110,s099/sid439100,host,99,99
s099/sid439114,s099/sid439099,host,99,99
s099/sid439117,s099/sid439099,host,99,99
s099/sid439118,s099/sid439099,host,99,99
s099/sid439121,s099/sid439099,host,99,99
s099/sid439122,s099/sid439099,host,99,99
s091/sid414688,s099/sid439121,time,91,99
s091/sid414688,s091/sid414671,host,91,91
s091/sid414679,s099/sid439110,time,91,99
s091/sid414679,s091/sid414671,host,91,91
s091/sid414685,s099/sid439122,time,91,99
s091/sid414685,s091/sid414671,host,91,91
s091/sid414672,s099/sid439100,time,91,99
s091/sid414672,s091/sid414671,host,91,91
s091/sid414674,s099/sid439102,time,91,99
s091/sid414674,s091/sid414671,host,91,91
s091/sid414671,s099/sid439099,time,91,99
s091/sid866506,s099/sid439106,time,91,99
s091/sid860796,s099/sid439107,time,91,99
s091/sid952316,s099/sid439114,time,91,99
s091/sid892005,s099/sid439108,time,91,99
s091/sid414680,s099/sid439117,time,91,99
s091/sid414673,s099/sid439101,time,91,99
s091/sid414673,s091/sid414671,host,91,91
s091/sid414683,s099/sid439118,time,91,99
s091/sid414676,s099/sid439105,time,91,99
s091/sid414678,s091/sid414671,host,91,91
s091/sid414681,s091/sid414671,host,91,91
s091/sid414682,s091/sid414671,host,91,91
s091/sid414684,s091/sid414671,host,91,91
s091/sid414690,s091/sid414671,host,91,91
s084/sid385528,s091/sid414678,time,84,91
s084/sid385528,s084/sid385523,host,84,84
s084/sid938157,s091/sid952316,time,84,91
s084/sid1014439,s091/sid414688,time,84,91
s084/sid385538,s091/sid414690,time,84,91
s084/sid385529,s091/sid414679,time,84,91
s084/sid385529,s084/sid385523,host,84,84
s084/sid876198,s091/sid414680,time,84,91
s084/sid385523,s091/sid414671,time,84,91
s084/sid859578,s091/sid892005,time,84,91
s084/sid823109,s091/sid860796,time,84,91
s084/sid385525,s091/sid414673,time,84,91
s084/sid385525,s084/sid385523,host,84,84
s084/sid801460,s091/sid414676,time,84,91
s084/sid385536,s091/sid414682,time,84,91
s084/sid385536,s084/sid385523,host,84,84
s084/sid385524,s091/sid414672,time,84,91
s084/sid385524,s084/sid385523,host,84,84
s084/sid385537,s091/sid414683,time,84,91
s084/sid751485,s091/sid414674,time,84,91
s084/sid385535,s091/sid414684,time,84,91
s084/sid385535,s084/sid385523,host,84,84
s084/sid845969,s091/sid866506,time,84,91
s084/sid385531,s091/sid414681,time,84,91
s084/sid385531,s084/sid385523,host,84,84
s084/sid385530,s084/sid385523,host,84,84
s084/sid385539,s084/sid385523,host,84,84
s084/sid385541,s084/sid385523,host,84,84
s084/sid385542,s084/sid385523,host,84,84
s084/sid385544,s084/sid385523,host,84,84
s078/sid928771,s084/sid385535,time,78,84
s078/sid354266,s084/sid385523,time,78,84
s078/sid354281,s084/sid385538,time,78,84
s078/sid354285,s084/sid385542,time,78,84
s078/sid354270,s084/sid385528,time,78,84
s078/sid354279,s084/sid385537,time,78,84
s078/sid354279,s078/sid354266,host,78,78
s078/sid806200,s084/sid823109,time,78,84
s078/sid354268,s084/sid385525,time,78,84
s078/sid739541,s084/sid751485,time,78,84
s078/sid1014158,s084/sid1014439,time,78,84
s078/sid354277,s084/sid385536,time,78,84
s078/sid354271,s084/sid385529,time,78,84
s078/sid354271,s078/sid354266,host,78,78
s078/sid860661,s084/sid876198,time,78,84
s078/sid354272,s084/sid385531,time,78,84
s078/sid928956,s084/sid938157,time,78,84
s078/sid354287,s084/sid385541,time,78,84
s078/sid354267,s084/sid385524,time,78,84
s078/sid354267,s078/sid354266,host,78,78
s078/sid836263,s084/sid845969,time,78,84
s078/sid797404,s084/sid801460,time,78,84
s078/sid869707,s084/sid859578,time,78,84
s078/sid354273,s078/sid354266,host,78,78
s078/sid354275,s078/sid354266,host,78,78
s078/sid354276,s078/sid354266,host,78,78
s078/sid354280,s078/sid354266,host,78,78
s078/sid354284,s078/sid354266,host,78,78
s078/sid354286,s078/sid354266,host,78,78
s072/sid335604,s078/sid354271,time,72,78
s072/sid335604,s072/sid335600,host,72,72
s072/sid976795,s078/sid1014158,time,72,78
s072/sid335608,s078/sid354272,time,72,78
s072/sid785322,s078/sid797404,time,72,78
s072/sid863797,s078/sid869707,time,72,78
s072/sid937518,s078/sid354277,time,72,78
s072/sid335600,s078/sid354266,time,72,78
s072/sid335601,s078/sid354266,time,72,78
s072/sid335601,s072/sid335600,host,72,72
s072/sid335612,s078/sid354279,time,72,78
s072/sid335612,s072/sid335600,host,72,72
s072/sid897437,s078/sid928771,time,72,78
s072/sid335603,s078/sid354268,time,72,78
s072/sid720423,s078/sid739541,time,72,78
s072/sid335614,s078/sid354281,time,72,78
s072/sid335611,s078/sid354273,time,72,78
s072/sid335602,s078/sid354267,time,72,78
s072/sid335602,s072/sid335600,host,72,72
s072/sid1014105,s078/sid354287,time,72,78
s072/sid803600,s078/sid354270,time,72,78
s072/sid980283,s078/sid354285,time,72,78
s072/sid823397,s078/sid836263,time,72,78
s072/sid863667,s078/sid860661,time,72,78
s072/sid917220,s078/sid928956,time,72,78
s072/sid783135,s078/sid806200,time,72,78
s072/sid335610,s072/sid335600,host,72,72
s072/sid335613,s072/sid335600,host,72,72
s072/sid335615,s072/sid335600,host,72,72
s072/sid335616,s072/sid335600,host,72,72
s067/sid858461,s072/sid863667,time,67,72
s067/sid753779,s072/sid783135,time,67,72
s067/sid862184,s072/sid863797,time,67,72
s067/sid312355,s072/sid335615,time,67,72
s067/sid312355,s067/sid312341,host,67,67
s067/sid312342,s072/sid335602,time,67,72
s067/sid312342,s067/sid312340,host,67,67
s067/sid850792,s072/sid335608,time,67,72
s067/sid312340,s072/sid335600,time,67,72
s067/sid937538,s072/sid937518,time,67,72
s067/sid897692,s072/sid897437,time,67,72
s067/sid787310,s072/sid803600,time,67,72
s067/sid312343,s072/sid335603,time,67,72
s067/sid312347,s072/sid335611,time,67,72
s067/sid312347,s067/sid312340,host,67,67
s067/sid312353,s072/sid335614,time,67,72
s067/sid312353,s067/sid312340,host,67,67
s067/sid781919,s072/sid785322,time,67,72
s067/sid929104,s072/sid1014105,time,67,72
s067/sid707545,s072/sid720423,time,67,72
s067/sid999314,s072/sid976795,time,67,72
s067/sid312344,s072/sid335604,time,67,72
s067/sid312344,s067/sid312340,host,67,67
s067/sid910784,s072/sid917220,time,67,72
s067/sid312351,s072/sid335612,time,67,72
s067/sid903471,s072/sid980283,time,67,72
s067/sid312341,s072/sid335601,time,67,72
s067/sid312341,s067/sid312340,host,67,67
s067/sid826388,s072/sid823397,time,67,72
s067/sid312345,s067/sid312340,host,67,67
s067/sid312348,s067/sid312340,host,67,67
s067/sid312352,s067/sid312340,host,67,67
s067/sid312354,s067/sid312340,host,67,67
s067/sid312357,s067/sid312340,host,67,67
s059/sid918077,s067/sid910784,time,59,67
s059/sid271412,s067/sid312343,time,59,67
s059/sid271412,s059/sid271409,host,59,59
s059/sid862974,s067/sid862184,time,59,67
s059/sid271431,s067/sid929104,time,59,67
s059/sid271425,s067/sid937538,time,59,67
s059/sid271427,s067/sid903471,time,59,67
s059/sid825755,s067/sid826388,time,59,67
s059/sid952406,s067/sid999314,time,59,67
s059/sid271421,s067/sid312351,time,59,67
