source,target,kind,layer_from,layer_to
s099/sid338447,s099/sid338446,host,99,99
s099/sid338448,s099/sid338447,host,99,99
s099/sid338450,s099/sid338446,host,99,99
s099/sid338451,s099/sid338446,host,99,99
s099/sid338452,s099/sid338446,host,99,99
s099/sid338453,s099/sid338447,host,99,99
s099/sid338455,s099/sid338447,host,99,99
s099/sid338456,s099/sid338446,host,99,99
s099/sid338458,s099/sid338446,host,99,99
s099/sid338462,s099/sid338446,host,99,99
s099/sid338463,s099/sid338447,host,99,99
s099/sid338465,s099/sid338446,host,99,99
s099/sid338466,s099/sid338446,host,99,99
s099/sid338468,s099/sid338446,host,99,99
s099/sid338471,s099/sid338446,host,99,99
s099/sid338472,s099/sid338446,host,99,99
s099/sid338473,s099/sid338446,host,99,99
s099/sid338474,s099/sid338446,host,99,99
s099/sid338477,s099/sid338446,host,99,99
s099/sid338479,s099/sid338446,host,99,99
s099/sid338480,s099/sid338446,host,99,99
s099/sid338487,s099/sid338446,host,99,99
s099/sid338488,s099/sid338446,host,99,99
s099/sid338489,s099/sid338446,host,99,99
s099/sid338490,s099/sid338446,host,99,99
s099/sid338491,s099/sid338446,host,99,99
s099/sid338492,s099/sid338446,host,99,99
s099/sid338493,s099/sid338446,host,99,99
s099/sid338494,s099/sid338446,host,99,99
s099/sid338495,s099/sid338446,host,99,99
s099/sid338498,s099/sid338446,host,99,99
s099/sid338500,s099/sid338446,host,99,99
s099/sid338501,s099/sid338446,host,99,99
s099/sid338503,s099/sid338446,host,99,99
s099/sid338506,s099/sid338446,host,99,99
s099/sid338507,s099/sid338446,host,99,99
s099/sid338514,s099/sid338446,host,99,99
s099/sid338518,s099/sid338446,host,99,99
s099/sid338519,s099/sid338446,host,99,99
s099/sid338521,s099/sid338446,host,99,99
s091/sid318080,s099/sid338466,time,91,99
s091/sid318080,s091/sid318063,host,91,91
s091/sid318117,s099/sid338507,time,91,99
s091/sid318117,s091/sid318063,host,91,91
s091/sid318124,s099/sid338518,time,91,99
s091/sid318076,s099/sid338463,time,91,99
s091/sid318076,s091/sid318063,host,91,91
s091/sid318089,s099/sid338474,time,91,99
s091/sid318089,s091/sid318063,host,91,91
s091/sid318069,s099/sid338452,time,91,99
s091/sid318069,s091/sid318063,host,91,91
s091/sid318103,s099/sid338489,time,91,99
s091/sid318094,s099/sid338491,time,91,99
s091/sid318063,s099/sid338446,time,91,99
s091/sid318072,s099/sid338446,time,91,99
s091/sid318072,s091/sid318064,host,91,91
s091/sid318108,s099/sid338492,time,91,99
s091/sid318108,s091/sid318064,host,91,91
s091/sid318096,s099/sid338479,time,91,99
s091/sid318096,s091/sid318063,host,91,91
s091/sid318104,s099/sid338494,time,91,99
s091/sid318104,s091/sid318064,host,91,91
s091/sid318092,s099/sid338473,time,91,99
s091/sid318092,s091/sid318063,host,91,91
s091/sid318083,s099/sid338465,time,91,99
s091/sid318083,s091/sid318063,host,91,91
s091/sid318078,s099/sid338458,time,91,99
s091/sid318078,s091/sid318063,host,91,91
s091/sid318088,s099/sid338472,time,91,99
s091/sid1056288,s099/sid338514,time,91,99
s091/sid318064,s099/sid338447,time,91,99
s091/sid318064,s091/sid318063,host,91,91
s091/sid318107,s099/sid338495,time,91,99
s091/sid318107,s091/sid318063,host,91,91
s091/sid318091,s099/sid338480,time,91,99
s091/sid318091,s091/sid318063,host,91,91
s091/sid318066,s099/sid338450,time,91,99
s091/sid318090,s099/sid338477,time,91,99
s091/sid318071,s099/sid338453,time,91,99
s091/sid318071,s091/sid318064,host,91,91
s091/sid318065,s099/sid338448,time,91,99
s091/sid318065,s091/sid318064,host,91,91
s091/sid318081,s099/sid338462,time,91,99
s091/sid318081,s091/sid318063,host,91,91
s091/sid318114,s099/sid338506,time,91,99
s091/sid318114,s091/sid318063,host,91,91
s091/sid318073,s099/sid338471,time,91,99
s091/sid318073,s091/sid318063,host,91,91
s091/sid318067,s099/sid338451,time,91,99
s091/sid1059906,s099/sid338521,time,91,99
s091/sid318070,s099/sid338455,time,91,99
s091/sid318070,s091/sid318064,host,91,91
s091/sid318105,s099/sid338493,time,91,99
s091/sid318105,s091/sid318063,host,91,91
s091/sid318106,s099/sid338488,time,91,99
s091/sid318106,s091/sid318092,host,91,91
s091/sid318102,s099/sid338490,time,91,99
s091/sid318102,s091/sid318063,host,91,91
s091/sid318110,s099/sid338498,time,91,99
s091/sid318113,s099/sid338503,time,91,99
s091/sid318075,s099/sid338456,time,91,99
s091/sid318075,s091/sid318063,host,91,91
s091/sid318084,s099/sid338468,time,91,99
s091/sid318084,s091/sid318063,host,91,91
s091/sid985113,s099/sid338501,time,91,99
s091/sid318112,s099/sid338500,time,91,99
s091/sid318112,s091/sid318063,host,91,91
s091/sid318099,s099/sid338487,time,91,99
s091/sid318127,s099/sid338519,time,91,99
s091/sid318074,s091/sid318063,host,91,91
s091/sid318077,s091/sid318063,host,91,91
s091/sid318082,s091/sid318063,host,91,91
s091/sid318087,s091/sid318063,host,91,91
s091/sid318095,s091/sid318063,host,91,91
s091/sid318098,s091/sid318063,host,91,91
s091/sid318118,s091/sid318063,host,91,91
s091/sid318119,s091/sid318063,host,91,91
s091/sid318121,s091/sid318063,host,91,91
