source,target,kind,layer_from,layer_to
s099/sid445633,s099/sid445626,host,99,99
s099/sid445634,s099/sid445626,host,99,99
s099/sid445636,s099/sid445626,host,99,99
s099/sid445637,s099/sid445626,host,99,99
s091/sid424790,s099/sid445626,time,91,99
s091/sid424796,s099/sid445637,time,91,99
s091/sid424796,s091/sid424790,host,91,91
s091/sid424792,s099/sid445634,time,91,99
s091/sid424794,s099/sid445633,time,91,99
s091/sid424794,s091/sid424791,host,91,91
s091/sid424791,s091/sid424790,host,91,91
s091/sid424793,s091/sid424790,host,91,91
s091/sid424797,s091/sid424790,host,91,91
s091/sid424812,s091/sid424790,host,91,91
s084/sid378758,s091/sid424812,time,84,91
s084/sid378743,s091/sid424790,time,84,91
s084/sid378749,s091/sid424796,time,84,91
s084/sid378749,s084/sid378743,host,84,84
s084/sid837106,s091/sid424792,time,84,91
s084/sid378747,s091/sid424793,time,84,91
s084/sid378747,s084/sid378743,host,84,84
s078/sid824929,s084/sid837106,time,78,84
s078/sid347716,s084/sid378749,time,78,84
s078/sid347716,s078/sid347710,host,78,78
s078/sid347710,s084/sid378743,time,78,84
s078/sid347712,s084/sid378743,time,78,84
s078/sid347712,s078/sid347710,host,78,78
s078/sid347715,s084/sid378747,time,78,84
s078/sid884914,s084/sid378758,time,78,84
s078/sid347717,s078/sid347712,host,78,78
s078/sid347725,s078/sid347710,host,78,78
s072/sid779057,s078/sid347715,time,72,78
s072/sid333547,s078/sid347712,time,72,78
s072/sid333547,s072/sid333546,host,72,72
s072/sid333551,s078/sid347716,time,72,78
s072/sid333551,s072/sid333546,host,72,72
s072/sid906396,s078/sid884914,time,72,78
s072/sid333558,s078/sid347725,time,72,78
s072/sid333558,s072/sid333546,host,72,72
s072/sid333546,s078/sid347710,time,72,78
s072/sid812398,s078/sid824929,time,72,78
s072/sid333548,s072/sid333546,host,72,72
s072/sid333550,s072/sid333546,host,72,72
s072/sid333553,s072/sid333547,host,72,72
s072/sid333560,s072/sid333546,host,72,72
s072/sid333565,s072/sid333546,host,72,72
s072/sid333573,s072/sid333546,host,72,72
s072/sid333576,s072/sid333546,host,72,72
s067/sid310161,s072/sid333547,time,67,72
s067/sid310161,s067/sid310159,host,67,67
s067/sid310159,s072/sid333546,time,67,72
s067/sid310175,s072/sid333560,time,67,72
s067/sid310175,s067/sid310159,host,67,67
s067/sid310164,s072/sid333551,time,67,72
s067/sid310164,s067/sid310159,host,67,67
s067/sid765471,s072/sid779057,time,67,72
s067/sid310183,s072/sid333573,time,67,72
s067/sid310183,s067/sid310159,host,67,67
s067/sid803685,s072/sid812398,time,67,72
s067/sid310168,s072/sid333558,time,67,72
s067/sid310165,s072/sid333553,time,67,72
s067/sid310165,s067/sid310159,host,67,67
s067/sid915562,s072/sid906396,time,67,72
s067/sid310163,s072/sid333550,time,67,72
s067/sid310185,s072/sid333576,time,67,72
s067/sid310185,s067/sid310159,host,67,67
s067/sid310162,s067/sid310159,host,67,67
s067/sid310177,s067/sid310159,host,67,67
s067/sid310179,s067/sid310159,host,67,67
s067/sid310184,s067/sid310159,host,67,67
s059/sid283152,s067/sid310159,time,59,67
s059/sid283153,s067/sid310159,time,59,67
s059/sid283153,s059/sid283152,host,59,59
s059/sid283158,s067/sid310159,time,59,67
s059/sid283158,s059/sid283152,host,59,59
s059/sid283157,s067/sid310164,time,59,67
s059/sid283157,s059/sid283152,host,59,59
s059/sid788794,s067/sid310168,time,59,67
s059/sid509883,s067/sid310163,time,59,67
s059/sid283156,s067/sid310165,time,59,67
s059/sid283156,s059/sid283152,host,59,59
s059/sid509884,s067/sid310175,time,59,67
s059/sid283169,s067/sid310183,time,59,67
s059/sid283169,s059/sid283153,host,59,59
s059/sid283167,s067/sid310184,time,59,67
s059/sid283167,s059/sid283152,host,59,59
s059/sid283168,s067/sid310185,time,59,67
s059/sid283168,s059/sid283152,host,59,59
s059/sid748735,s067/sid765471,time,59,67
s059/sid283154,s067/sid310161,time,59,67
s059/sid283154,s059/sid283152,host,59,59
s059/sid918801,s067/sid915562,time,59,67
s059/sid789965,s067/sid803685,time,59,67
s059/sid283159,s059/sid283152,host,59,59
s059/sid283160,s059/sid283152,host,59,59
s059/sid283161,s059/sid283152,host,59,59
s059/sid283163,s059/sid283152,host,59,59
s059/sid283165,s059/sid283152,host,59,59
s059/sid283171,s059/sid283152,host,59,59
s059/sid283172,s059/sid283152,host,59,59
s059/sid283174,s059/sid283152,host,59,59
s050/sid832753,s059/sid788794,time,50,59
s050/sid238588,s059/sid283156,time,50,59
s050/sid238588,s050/sid238585,host,50,50
s050/sid238589,s059/sid283157,time,50,59
s050/sid715146,s059/sid748735,time,50,59
s050/sid928984,s059/sid283167,time,50,59
s050/sid897956,s059/sid283169,time,50,59
s050/sid238597,s059/sid283168,time,50,59
s050/sid769475,s059/sid789965,time,50,59
s050/sid893347,s059/sid283163,time,50,59
s050/sid238585,s059/sid283152,time,50,59
s050/sid238591,s059/sid283161,time,50,59
s050/sid238591,s050/sid238585,host,50,50
s050/sid238590,s059/sid283159,time,50,59
s050/sid238590,s050/sid238585,host,50,50
s050/sid238586,s059/sid283153,time,50,59
s050/sid806910,s059/sid283160,time,50,59
s050/sid913968,s059/sid918801,time,50,59
s050/sid477542,s059/sid509883,time,50,59
s050/sid991403,s059/sid283174,time,50,59
s050/sid477543,s059/sid509884,time,50,59
s050/sid238587,s059/sid283154,time,50,59
s050/sid238587,s050/sid238585,host,50,50
s050/sid238592,s050/sid238587,host,50,50
s050/sid238593,s050/sid238585,host,50,50
s050/sid238594,s050/sid238585,host,50,50
s050/sid238595,s050/sid238585,host,50,50
