source,target,kind,layer_from,layer_to
s099/sid458472,s099/sid458470,host,99,99
s099/sid458473,s099/sid458470,host,99,99
s099/sid458475,s099/sid458470,host,99,99
s099/sid458476,s099/sid458470,host,99,99
s099/sid458477,s099/sid458473,host,99,99
s099/sid458478,s099/sid458470,host,99,99
s099/sid458484,s099/sid458470,host,99,99
s099/sid458485,s099/sid458470,host,99,99
s099/sid458487,s099/sid458470,host,99,99
s099/sid458490,s099/sid458470,host,99,99
s091/sid436309,s099/sid458472,time,91,99
s091/sid436310,s099/sid458475,time,91,99
s091/sid707382,s099/sid458473,time,91,99
s091/sid436307,s099/sid458470,time,91,99
s091/sid436311,s099/sid458476,time,91,99
s091/sid436311,s091/sid436309,host,91,91
s091/sid436314,s099/sid458484,time,91,99
s091/sid436314,s091/sid436307,host,91,91
s091/sid707383,s099/sid458477,time,91,99
s091/sid707383,s091/sid707382,host,91,91
s091/sid436322,s099/sid458490,time,91,99
s091/sid436322,s091/sid436307,host,91,91
s091/sid436315,s099/sid458485,time,91,99
s091/sid436316,s099/sid458487,time,91,99
s091/sid436316,s091/sid436307,host,91,91
s091/sid436312,s099/sid458478,time,91,99
s091/sid436312,s091/sid436307,host,91,91
s091/sid436319,s091/sid436307,host,91,91
s091/sid436320,s091/sid436307,host,91,91
s091/sid436321,s091/sid436307,host,91,91
s084/sid408799,s091/sid436311,time,84,91
s084/sid408802,s091/sid436320,time,84,91
s084/sid408802,s084/sid408795,host,84,84
s084/sid680157,s091/sid707382,time,84,91
s084/sid853215,s091/sid436315,time,84,91
s084/sid408796,s091/sid436309,time,84,91
s084/sid408796,s084/sid408795,host,84,84
s084/sid680158,s091/sid707383,time,84,91
s084/sid680158,s084/sid680157,host,84,84
s084/sid895174,s091/sid436321,time,84,91
s084/sid408804,s091/sid436322,time,84,91
s084/sid408798,s091/sid436312,time,84,91
s084/sid408800,s091/sid436314,time,84,91
s084/sid924000,s091/sid436316,time,84,91
s084/sid408795,s091/sid436307,time,84,91
s084/sid408803,s091/sid436319,time,84,91
s084/sid408803,s084/sid408795,host,84,84
s084/sid408797,s091/sid436310,time,84,91
s084/sid408801,s084/sid408795,host,84,84
s078/sid932848,s084/sid408802,time,78,84
s078/sid391066,s084/sid408799,time,78,84
s078/sid391066,s078/sid391064,host,78,78
s078/sid664400,s084/sid680157,time,78,84
s078/sid728301,s084/sid408797,time,78,84
s078/sid391067,s084/sid408800,time,78,84
s078/sid974823,s084/sid408804,time,78,84
s078/sid391065,s084/sid408796,time,78,84
s078/sid391065,s078/sid391064,host,78,78
s078/sid891843,s084/sid853215,time,78,84
s078/sid740880,s084/sid408798,time,78,84
s078/sid895450,s084/sid895174,time,78,84
s078/sid939101,s084/sid408803,time,78,84
s078/sid391069,s084/sid408801,time,78,84
s078/sid391069,s078/sid391066,host,78,78
s078/sid664401,s084/sid680158,time,78,84
s078/sid391064,s084/sid408795,time,78,84
s078/sid922605,s084/sid924000,time,78,84
s078/sid391068,s078/sid391064,host,78,78
s078/sid391072,s078/sid391065,host,78,78
