source,target,kind,layer_from,layer_to
s099/sid307486,s099/sid307485,host,99,99
s099/sid307487,s099/sid307485,host,99,99
s099/sid307488,s099/sid307486,host,99,99
s099/sid307490,s099/sid307485,host,99,99
s099/sid307495,s099/sid307486,host,99,99
s099/sid307498,s099/sid307486,host,99,99
s099/sid307502,s099/sid307485,host,99,99
s099/sid307504,s099/sid307485,host,99,99
s099/sid307508,s099/sid307488,host,99,99
s099/sid307510,s099/sid307486,host,99,99
s099/sid307514,s099/sid307485,host,99,99
s099/sid307515,s099/sid307486,host,99,99
s099/sid307527,s099/sid307485,host,99,99
s099/sid307529,s099/sid307486,host,99,99
s099/sid307530,s099/sid307486,host,99,99
s099/sid307535,s099/sid307487,host,99,99
s099/sid307539,s099/sid307486,host,99,99
s099/sid307542,s099/sid307485,host,99,99
s099/sid307543,s099/sid307485,host,99,99
s099/sid307549,s099/sid307485,host,99,99
s099/sid307555,s099/sid307486,host,99,99
s099/sid307556,s099/sid307485,host,99,99
s099/sid307562,s099/sid307485,host,99,99
s099/sid307563,s099/sid307485,host,99,99
s099/sid307567,s099/sid307486,host,99,99
s099/sid307568,s099/sid307485,host,99,99
s099/sid307570,s099/sid307485,host,99,99
s099/sid307572,s099/sid307485,host,99,99
s099/sid307574,s099/sid307485,host,99,99
s099/sid307577,s099/sid307485,host,99,99
s099/sid307580,s099/sid307486,host,99,99
s099/sid307582,s099/sid307485,host,99,99
s099/sid307586,s099/sid307485,host,99,99
s099/sid1050334,s099/sid307485,host,99,99
s091/sid294527,s099/sid307504,time,91,99
s091/sid294527,s091/sid294515,host,91,91
s091/sid294558,s099/sid307543,time,91,99
s091/sid1025737,s099/sid307582,time,91,99
s091/sid294577,s099/sid307562,time,91,99
s091/sid294572,s099/sid307555,time,91,99
s091/sid294572,s091/sid294515,host,91,91
s091/sid294516,s099/sid307485,time,91,99
s091/sid294552,s099/sid307530,time,91,99
s091/sid294552,s091/sid294515,host,91,91
s091/sid294525,s099/sid307495,time,91,99
s091/sid294525,s091/sid294515,host,91,91
s091/sid294563,s099/sid307549,time,91,99
s091/sid294563,s091/sid294516,host,91,91
s091/sid294585,s099/sid307568,time,91,99
s091/sid294585,s091/sid294519,host,91,91
s091/sid294588,s099/sid307577,time,91,99
s091/sid294588,s091/sid294516,host,91,91
s091/sid294565,s099/sid307542,time,91,99
s091/sid294519,s099/sid307490,time,91,99
s091/sid294518,s099/sid307488,time,91,99
s091/sid294518,s091/sid294515,host,91,91
s091/sid294517,s099/sid307487,time,91,99
s091/sid294517,s091/sid294515,host,91,91
s091/sid294592,s099/sid307556,time,91,99
s091/sid294586,s099/sid307572,time,91,99
s091/sid294586,s091/sid294516,host,91,91
s091/sid294537,s099/sid307515,time,91,99
s091/sid294537,s091/sid294515,host,91,91
s091/sid294531,s099/sid307498,time,91,99
s091/sid294531,s091/sid294515,host,91,91
s091/sid294587,s099/sid307574,time,91,99
s091/sid294587,s091/sid294516,host,91,91
s091/sid294591,s099/sid307567,time,91,99
s091/sid294591,s091/sid294517,host,91,91
s091/sid294524,s099/sid307502,time,91,99
s091/sid294524,s091/sid294515,host,91,91
s091/sid294556,s099/sid307539,time,91,99
s091/sid294556,s091/sid294515,host,91,91
s091/sid294596,s099/sid307586,time,91,99
s091/sid294535,s099/sid307508,time,91,99
s091/sid294535,s091/sid294515,host,91,91
s091/sid294534,s099/sid307510,time,91,99
s091/sid294534,s091/sid294515,host,91,91
s091/sid294536,s099/sid307514,time,91,99
s091/sid294515,s099/sid307486,time,91,99
s091/sid294526,s099/sid307486,time,91,99
s091/sid294526,s091/sid294515,host,91,91
s091/sid294583,s099/sid307580,time,91,99
s091/sid294590,s099/sid307563,time,91,99
s091/sid294553,s099/sid307529,time,91,99
s091/sid294553,s091/sid294520,host,91,91
s091/sid294559,s099/sid307535,time,91,99
s091/sid294559,s091/sid294516,host,91,91
s091/sid878642,s099/sid307527,time,91,99
s091/sid294520,s091/sid294517,host,91,91
s091/sid294521,s091/sid294515,host,91,91
s091/sid294522,s091/sid294515,host,91,91
s091/sid294528,s091/sid294516,host,91,91
s091/sid294530,s091/sid294515,host,91,91
s091/sid294532,s091/sid294515,host,91,91
s091/sid294538,s091/sid294515,host,91,91
s091/sid294539,s091/sid294517,host,91,91
s091/sid294541,s091/sid294515,host,91,91
s091/sid294544,s091/sid294515,host,91,91
s091/sid294545,s091/sid294515,host,91,91
s091/sid294546,s091/sid294515,host,91,91
