source,target,kind,layer_from,layer_to
s099/sid229934,s099/sid229933,host,99,99
s099/sid229938,s099/sid229933,host,99,99
s099/sid229939,s099/sid229933,host,99,99
s099/sid229940,s099/sid229933,host,99,99
s099/sid229943,s099/sid229933,host,99,99
s099/sid229945,s099/sid229933,host,99,99
s099/sid229946,s099/sid229933,host,99,99
s099/sid229950,s099/sid229933,host,99,99
s099/sid229951,s099/sid229933,host,99,99
s099/sid229955,s099/sid229933,host,99,99
s099/sid229956,s099/sid229933,host,99,99
s099/sid229957,s099/sid229933,host,99,99
s099/sid229961,s099/sid229933,host,99,99
s099/sid229962,s099/sid229933,host,99,99
s099/sid229963,s099/sid229933,host,99,99
s099/sid229964,s099/sid229933,host,99,99
s099/sid229965,s099/sid229933,host,99,99
s099/sid229966,s099/sid229933,host,99,99
s099/sid229968,s099/sid229933,host,99,99
s099/sid229970,s099/sid229934,host,99,99
s099/sid229971,s099/sid229933,host,99,99
s099/sid229973,s099/sid229933,host,99,99
s099/sid229974,s099/sid229933,host,99,99
s099/sid229975,s099/sid229933,host,99,99
s099/sid229976,s099/sid229933,host,99,99
s099/sid229977,s099/sid229933,host,99,99
s099/sid229978,s099/sid229933,host,99,99
s099/sid229980,s099/sid229933,host,99,99
s099/sid229981,s099/sid229933,host,99,99
s099/sid229982,s099/sid229933,host,99,99
s099/sid229983,s099/sid229933,host,99,99
s099/sid229984,s099/sid229933,host,99,99
s099/sid229987,s099/sid229933,host,99,99
s099/sid229988,s099/sid229933,host,99,99
s099/sid229989,s099/sid229933,host,99,99
s099/sid229990,s099/sid229933,host,99,99
s099/sid229991,s099/sid229933,host,99,99
s099/sid229993,s099/sid229933,host,99,99
s099/sid229995,s099/sid229934,host,99,99
s099/sid229997,s099/sid229933,host,99,99
s099/sid230000,s099/sid229933,host,99,99
s099/sid230001,s099/sid229933,host,99,99
s099/sid230002,s099/sid229933,host,99,99
s099/sid230003,s099/sid229940,host,99,99
s099/sid230007,s099/sid229933,host,99,99
s099/sid230010,s099/sid229933,host,99,99
s099/sid230011,s099/sid229933,host,99,99
s099/sid230014,s099/sid229933,host,99,99
s099/sid230016,s099/sid229933,host,99,99
s099/sid230020,s099/sid229933,host,99,99
s099/sid230021,s099/sid229933,host,99,99
s099/sid230024,s099/sid229946,host,99,99
s099/sid230026,s099/sid229933,host,99,99
s099/sid230027,s099/sid229933,host,99,99
s099/sid230028,s099/sid229933,host,99,99
s099/sid230029,s099/sid229933,host,99,99
s099/sid230032,s099/sid229933,host,99,99
s099/sid230036,s099/sid229933,host,99,99
s099/sid230037,s099/sid229933,host,99,99
s099/sid230039,s099/sid229933,host,99,99
s099/sid230041,s099/sid229933,host,99,99
s099/sid230042,s099/sid229933,host,99,99
s099/sid230044,s099/sid229933,host,99,99
s099/sid230046,s099/sid229933,host,99,99
s099/sid230048,s099/sid229933,host,99,99
s099/sid230050,s099/sid229933,host,99,99
s099/sid230051,s099/sid229933,host,99,99
s099/sid230052,s099/sid229933,host,99,99
s099/sid230055,s099/sid229933,host,99,99
s099/sid230057,s099/sid229933,host,99,99
s099/sid230058,s099/sid229933,host,99,99
